dubia,neighbor,distance,author
dubia_finans_manifest.txt,lenin_183_students_I.txt,0.4868354838060348,lenin
dubia_finans_manifest.txt,trotsky_voyna_i_oppoz.txt,0.4881160675230538,trotsky
dubia_finans_manifest.txt,lenin_k_der_bednote_cdprogramma.txt,0.4883724497622333,lenin
dubia_finans_manifest.txt,lenin_rasskaz_o_II_cyezde.txt,0.4892923389439528,lenin
dubia_finans_manifest.txt,lenin_samoderzh_kolebletsya_I.txt,0.4919627003815586,lenin
dubia_nasushnie_zadachi_I.txt,parvus_do_9_january_predislovie.txt,0.36703009950591103,parvus
dubia_nasushnie_zadachi_I.txt,dubia_ot_red_iskry_I.txt,0.3752408375102198,dubia
dubia_nasushnie_zadachi_I.txt,martov_o_terrore_I.txt,0.37672221869614264,martov
dubia_nasushnie_zadachi_I.txt,lenin_chto_delat'.txt,0.37918274155033893,lenin
dubia_nasushnie_zadachi_I.txt,parvus_onp1_o_i_socrev_razvitie.txt,0.3852222001637345,parvus
dubia_novoe_poboishe_I.txt,lenin_rab_partya_krestvo_I.txt,0.3547541636255059,lenin
dubia_novoe_poboishe_I.txt,lenin_chto_delat'.txt,0.3641823625656254,lenin
dubia_novoe_poboishe_I.txt,lenin_s_chego_nachat'_I.txt,0.3988060817685948,lenin
dubia_novoe_poboishe_I.txt,dubia_zakon_o_voznagr_I.txt,0.4006923067745242,dubia
dubia_novoe_poboishe_I.txt,lenin_k_der_bednote_cdprogramma.txt,0.40793820809510145,lenin
dubia_ot_red_iskry_I.txt,lenin_chto_delat'.txt,0.34608245399360876,lenin
dubia_ot_red_iskry_I.txt,dubia_nasushnie_zadachi_I.txt,0.3752408375102198,dubia
dubia_ot_red_iskry_I.txt,lenin_zadachi_rev_molodezhy.txt,0.38653879605583497,lenin
dubia_ot_red_iskry_I.txt,lenin_nacionalniy_vopros_I.txt,0.3887970210919238,lenin
dubia_ot_red_iskry_I.txt,trotsky_intellig_dem.txt,0.3925020064647069,trotsky
dubia_ot_red_na_pismo_parvusa_I.txt,plehanov_grustnoe_nedorazumenie_I.txt,0.617860370601146,plehanov
dubia_ot_red_na_pismo_parvusa_I.txt,ortodox_eshe1_kritik_Marxa.txt,0.6185619216944733,ortodox
dubia_ot_red_na_pismo_parvusa_I.txt,plehanov_uspenskiy.txt,0.620406032577222,plehanov
dubia_ot_red_na_pismo_parvusa_I.txt,plehanov_pora_obyasnitsya.txt,0.6251221896383182,plehanov
dubia_ot_red_na_pismo_parvusa_I.txt,plehanov_cant_vs_kant.txt,0.6261849026997138,plehanov
dubia_poslednee_slovo_bund_I.txt,lenin_otvet_na_kritiku.txt,0.3996585957672622,lenin
dubia_poslednee_slovo_bund_I.txt,lenin_chto_delat'.txt,0.40793541780002907,lenin
dubia_poslednee_slovo_bund_I.txt,lenin_shag_vpered_2nazad.txt,0.4128251394320842,lenin
dubia_poslednee_slovo_bund_I.txt,lenin_zemsk_kampania_iskra.txt,0.4142860808351457,lenin
dubia_poslednee_slovo_bund_I.txt,lenin_nuzhna_li_partiya_I.txt,0.41440430278608864,lenin
dubia_priznaki_bankrotstva_I.txt,plehanov_pervie_frazy_uchenia.txt,0.33873359727757857,plehanov
dubia_priznaki_bankrotstva_I.txt,martov_razgrom_I.txt,0.3415526613251771,martov
dubia_priznaki_bankrotstva_I.txt,plehanov_uspenskiy.txt,0.3443556579979185,plehanov
dubia_priznaki_bankrotstva_I.txt,trotsky_intellig_dem.txt,0.35441975096361916,trotsky
dubia_priznaki_bankrotstva_I.txt,lenin_chto_delat'.txt,0.35726421465278707,lenin
dubia_slovo_mosc_vedomostyam_I.txt,zasulich_vystrel_Karpovicha_I.txt,0.3510324252870076,zasulich
dubia_slovo_mosc_vedomostyam_I.txt,plehanov_uspenskiy.txt,0.36260061442914493,plehanov
dubia_slovo_mosc_vedomostyam_I.txt,zasulich_o_chem_govoryat_nam_I.txt,0.3639145841962355,zasulich
dubia_slovo_mosc_vedomostyam_I.txt,plehanov_pessimizm_kak_otrazhenie.txt,0.3656248302326984,plehanov
dubia_slovo_mosc_vedomostyam_I.txt,zasulich_dobrolubov_I.txt,0.3756074104813006,zasulich
dubia_zakon_o_voznagr_I.txt,lenin_k_der_bednote_cdprogramma.txt,0.33532699105276254,lenin
dubia_zakon_o_voznagr_I.txt,lenin_chto_delat'.txt,0.35215724847907787,lenin
dubia_zakon_o_voznagr_I.txt,lenin_rab_partya_krestvo_I.txt,0.3578359277801768,lenin
dubia_zakon_o_voznagr_I.txt,lenin_tsennoe_priznanie_I.txt,0.36851056115883524,lenin
dubia_zakon_o_voznagr_I.txt,lenin_era_reform_I.txt,0.37160791922125574,lenin
